titleId,titleType,originalTitle,runtimeMinutes,averageRating
tt13569424,movie,A Christmas Carol,49,2.6
tt13571948,movie,A Christmas Carol,77,5.3
tt13571948,movie,A Christmas Carol,77,6.8
tt13571948,movie,A Christmas Carol,77,4.3
tt2131447,movie,A Christmas Carol,89,4.9
tt2131447,movie,A Christmas Carol,89,6.6
tt2131447,movie,A Christmas Carol,89,3.6
tt2294459,movie,A Christmas Carol,82,3.2
tt2294459,movie,A Christmas Carol,82,7.6
tt2294459,movie,A Christmas Carol,82,6.1
tt4387314,movie,A Christmas Carol,75,7
tt4387314,movie,A Christmas Carol,75,8
tt4387314,movie,A Christmas Carol,75,6.8
tt4776578,movie,A Christmas Carol,59,5.3
tt4776578,movie,A Christmas Carol,59,5.9
tt4776578,movie,A Christmas Carol,59,6
tt7820614,movie,A Christmas Carol,57,8.2
tt7820614,movie,A Christmas Carol,57,7.2
tt7820614,movie,A Christmas Carol,57,6.9
tt8232648,movie,A Christmas Carol,81,7.6
tt8232648,movie,A Christmas Carol,81,7.7
tt8232648,movie,A Christmas Carol,81,7.8
tt9136058,movie,A Christmas Carol,94,5.6
tt9136058,movie,A Christmas Carol,94,8.2
tt9136058,movie,A Christmas Carol,94,6.9
tt9387380,movie,A Christmas Carol,121,5.9
tt9387380,movie,A Christmas Carol,121,7.1
tt9387380,movie,A Christmas Carol,121,8.2
tt9416854,movie,A Christmas Carol,51,6.8
tt9416854,movie,A Christmas Carol,51,6.5
tt9416854,movie,A Christmas Carol,51,6.8
tt0085334,movie,A Christmas Story,93,8.5
tt0356470,movie,A Cinderella Story,95,5.8
tt0120633,movie,A Civil Action,115,7.2
tt0066921,movie,A Clockwork Orange,136,8.4
tt0118018,movie,Un divan Ã  New York,108,6.7
tt0061523,movie,A Countess from Hong Kong,120,6.7
tt0094924,movie,Evil Angels,120,7.8
tt0099327,movie,A Cry in the Wild,82,6.4
tt0377744,movie,A Day Without a Mexican,100,7.2
tt0028772,movie,A Day at the Races,111,7.3
tt0342275,movie,A Decade Under the Influence,138,7.2
tt0069958,movie,A Delicate Balance,133,4.8
tt0326828,movie,A Different Loyalty,96,8.4
tt0365125,movie,A Dirty Shame,89,5.4
tt0026285,movie,A Dog of Flanders,72,5.5
tt0026285,movie,A Dog of Flanders,72,7.1
tt0052745,movie,A Dog of Flanders,96,7.8
tt0052745,movie,A Dog of Flanders,96,7.1
tt0160216,movie,A Dog of Flanders,100,6.6
tt0160216,movie,A Dog of Flanders,100,8.5
